,Timestamp,UC,SPOT,dailyInterestRate,Funding Rate
0,1609459200000,0.01784,0.01758,0.0004,0.00035463
1,1609462800000,0.01809,0.01782,,
2,1609466400000,0.018,0.01801,,
3,1609470000000,0.01817,0.01794,,
4,1609473600000,0.01811,0.01815,,
5,1609477200000,0.01804,0.01808,,
6,1609480800000,0.01795,0.01798,,
7,1609484400000,0.01788,0.01791,,
8,1609488000000,0.01778,0.01786,,0.00018254
9,1609491600000,0.01787,0.01771,,
10,1609495200000,0.01813,0.01781,,
11,1609498800000,0.01827,0.01809,,
12,1609502400000,0.01811,0.01824,,
13,1609506000000,0.01829,0.01806,,
14,1609509600000,0.01864,0.01825,,
15,1609513200000,0.01853,0.01858,,
16,1609516800000,0.01837,0.0185,,0.00052801
17,1609520400000,0.01795,0.01834,,
18,1609524000000,0.01758,0.01792,,
19,1609527600000,0.01765,0.01752,,
20,1609531200000,0.01766,0.01763,,
21,1609534800000,0.01763,0.0176,,
22,1609538400000,0.01771,0.0176,,
23,1609542000000,0.0178,0.01767,,
24,1609545600000,0.01755,0.01776,0.0004,0.00011843
25,1609549200000,0.01788,0.01751,,
26,1609552800000,0.01805,0.01784,,
27,1609556400000,0.01843,0.01803,,
28,1609560000000,0.01851,0.01841,,
29,1609563600000,0.01861,0.01847,,
30,1609567200000,0.01864,0.01858,,
31,1609570800000,0.01847,0.01861,,
32,1609574400000,0.0183,0.01841,,0.00056624
33,1609578000000,0.01822,0.01827,,
34,1609581600000,0.01836,0.01818,,
35,1609585200000,0.01856,0.01837,,
36,1609588800000,0.01865,0.01851,,
37,1609592400000,0.01846,0.01858,,
38,1609596000000,0.01834,0.0184,,
39,1609599600000,0.01827,0.01828,,
40,1609603200000,0.01822,0.01821,,0.00065397
41,1609606800000,0.01812,0.01813,,
42,1609610400000,0.01837,0.01805,,
43,1609614000000,0.01911,0.01832,,
44,1609617600000,0.01871,0.01903,,
45,1609621200000,0.01901,0.01861,,
46,1609624800000,0.01913,0.01896,,
47,1609628400000,0.01908,0.01907,,
48,1609632000000,0.01904,0.01906,0.0004,0.00078533
49,1609635600000,0.01905,0.01898,,
50,1609639200000,0.01951,0.01902,,
51,1609642800000,0.01936,0.01944,,
52,1609646400000,0.01952,0.01928,,
53,1609650000000,0.01918,0.01946,,
54,1609653600000,0.01914,0.01915,,
55,1609657200000,0.01917,0.0191,,
56,1609660800000,0.01905,0.01914,,0.00051253
57,1609664400000,0.01887,0.01903,,
58,1609668000000,0.01938,0.01882,,
59,1609671600000,0.01947,0.01933,,
60,1609675200000,0.0201,0.01942,,
61,1609678800000,0.02019,0.01998,,
62,1609682400000,0.01989,0.02015,,
63,1609686000000,0.01968,0.01978,,
64,1609689600000,0.01968,0.01962,,0.00128498
65,1609693200000,0.0198,0.01964,,
66,1609696800000,0.0197,0.01968,,
67,1609700400000,0.01957,0.01959,,
68,1609704000000,0.01976,0.01948,,
69,1609707600000,0.01991,0.01967,,
70,1609711200000,0.02001,0.01982,,
71,1609714800000,0.02004,0.01993,,
72,1609718400000,0.02061,0.01997,0.0004,0.00138609
73,1609722000000,0.02065,0.02043,,
74,1609725600000,0.02046,0.02049,,
75,1609729200000,0.02122,0.02029,,
76,1609732800000,0.02131,0.0211,,
77,1609736400000,0.02139,0.02113,,
78,1609740000000,0.0215,0.02122,,
79,1609743600000,0.02081,0.02135,,
80,1609747200000,0.02107,0.02071,,0.00351734
81,1609750800000,0.02044,0.02099,,
82,1609754400000,0.02008,0.02038,,
83,1609758000000,0.02036,0.02006,,
84,1609761600000,0.02131,0.02027,,
85,1609765200000,0.0217,0.02125,,
86,1609768800000,0.0222,0.02165,,
87,1609772400000,0.02333,0.02214,,
88,1609776000000,0.02351,0.0232,,0.00086096
89,1609779600000,0.02289,0.02339,,
90,1609783200000,0.02226,0.0228,,
91,1609786800000,0.02325,0.02223,,
92,1609790400000,0.02281,0.02315,,
93,1609794000000,0.02322,0.02273,,
94,1609797600000,0.02406,0.02317,,
95,1609801200000,0.02468,0.024,,
96,1609804800000,0.02399,0.02468,0.0004,0.00093728
97,1609808400000,0.02466,0.02388,,
98,1609812000000,0.02498,0.02459,,
99,1609815600000,0.02594,0.02488,,
100,1609819200000,0.02631,0.02592,,
101,1609822800000,0.02418,0.02623,,
102,1609826400000,0.0251,0.02408,,
103,1609830000000,0.02393,0.02502,,
104,1609833600000,0.02403,0.02384,,0.00068142
105,1609837200000,0.02406,0.02392,,
106,1609840800000,0.02441,0.02401,,
107,1609844400000,0.02487,0.02431,,
108,1609848000000,0.02476,0.02476,,
109,1609851600000,0.02429,0.02472,,
110,1609855200000,0.02434,0.02423,,
111,1609858800000,0.02439,0.02427,,
112,1609862400000,0.02456,0.02427,,0.00084063
113,1609866000000,0.02525,0.02449,,
114,1609869600000,0.02493,0.0252,,
115,1609873200000,0.02462,0.02483,,
116,1609876800000,0.02494,0.02448,,
117,1609880400000,0.02489,0.02487,,
118,1609884000000,0.02503,0.02477,,
119,1609887600000,0.02441,0.02491,,
120,1609891200000,0.02427,0.02439,0.0004,0.00103544
121,1609894800000,0.02427,0.02424,,
122,1609898400000,0.02871,0.02423,,
123,1609902000000,0.02806,0.02865,,
124,1609905600000,0.02831,0.02799,,
125,1609909200000,0.02836,0.02817,,
126,1609912800000,0.02914,0.02826,,
127,1609916400000,0.02704,0.02893,,
128,1609920000000,0.02752,0.02688,,0.00059998
129,1609923600000,0.02722,0.02743,,
130,1609927200000,0.02766,0.02709,,
131,1609930800000,0.02734,0.02761,,
132,1609934400000,0.02758,0.02722,,
133,1609938000000,0.02877,0.02747,,
134,1609941600000,0.02695,0.02868,,
135,1609945200000,0.0275,0.02691,,
136,1609948800000,0.0296,0.02748,,0.00113195
137,1609952400000,0.03364,0.02955,,
138,1609956000000,0.03322,0.03336,,
139,1609959600000,0.03216,0.0331,,
140,1609963200000,0.03404,0.03202,,
141,1609966800000,0.0328,0.03386,,
142,1609970400000,0.03487,0.03275,,
143,1609974000000,0.03558,0.03476,,
144,1609977600000,0.03893,0.03553,0.0004,0.00151227
145,1609981200000,0.03657,0.03869,,
146,1609984800000,0.03565,0.03628,,
147,1609988400000,0.03526,0.03557,,
148,1609992000000,0.03656,0.03507,,
149,1609995600000,0.0374,0.0364,,
150,1609999200000,0.03581,0.03718,,
151,1610002800000,0.03493,0.0357,,
152,1610006400000,0.03499,0.03486,,0.00259791
153,1610010000000,0.03503,0.0349,,
154,1610013600000,0.03434,0.03483,,
155,1610017200000,0.03456,0.03424,,
156,1610020800000,0.03583,0.03431,,
157,1610024400000,0.0352,0.03559,,
158,1610028000000,0.03434,0.03487,,
159,1610031600000,0.03345,0.03413,,
160,1610035200000,0.03423,0.03339,,0.00398363
161,1610038800000,0.03384,0.0341,,
162,1610042400000,0.03261,0.03371,,
163,1610046000000,0.03296,0.03247,,
164,1610049600000,0.03278,0.0328,,
165,1610053200000,0.03277,0.03261,,
166,1610056800000,0.03452,0.03262,,
167,1610060400000,0.03309,0.03447,,
168,1610064000000,0.03141,0.03297,0.0004,0.00121306
169,1610067600000,0.03098,0.03131,,
170,1610071200000,0.02869,0.03092,,
171,1610074800000,0.02964,0.02867,,
172,1610078400000,0.03162,0.02957,,
173,1610082000000,0.03102,0.03155,,
174,1610085600000,0.03166,0.03097,,
175,1610089200000,0.03241,0.03158,,
176,1610092800000,0.03221,0.03229,,0.00032328
177,1610096400000,0.03239,0.03208,,
178,1610100000000,0.03273,0.03228,,
179,1610103600000,0.03211,0.03261,,
180,1610107200000,0.03227,0.03201,,
181,1610110800000,0.03199,0.03209,,
182,1610114400000,0.03422,0.0318,,
183,1610118000000,0.03254,0.03415,,
184,1610121600000,0.03413,0.03245,,0.00154332
185,1610125200000,0.03343,0.03405,,
186,1610128800000,0.0323,0.03333,,
187,1610132400000,0.03242,0.0323,,
188,1610136000000,0.03054,0.03237,,
189,1610139600000,0.03124,0.03053,,
190,1610143200000,0.03142,0.03117,,
191,1610146800000,0.03164,0.03121,,
192,1610150400000,0.0315,0.03154,0.0004,0.00022472
193,1610154000000,0.03106,0.03133,,
194,1610157600000,0.03135,0.03098,,
195,1610161200000,0.03155,0.03122,,
196,1610164800000,0.03243,0.03135,,
197,1610168400000,0.03161,0.03221,,
198,1610172000000,0.031,0.03147,,
199,1610175600000,0.03125,0.03087,,
200,1610179200000,0.03159,0.03118,,0.00047444
201,1610182800000,0.03182,0.03143,,
202,1610186400000,0.03201,0.0318,,
203,1610190000000,0.03192,0.03186,,
204,1610193600000,0.03274,0.03191,,
205,1610197200000,0.03305,0.03252,,
206,1610200800000,0.03362,0.03292,,
207,1610204400000,0.03354,0.03346,,
208,1610208000000,0.03306,0.03344,,0.00111608
209,1610211600000,0.03277,0.03295,,
210,1610215200000,0.03357,0.03258,,
211,1610218800000,0.03365,0.03333,,
212,1610222400000,0.03367,0.03349,,
213,1610226000000,0.03456,0.0335,,
214,1610229600000,0.03364,0.03441,,
215,1610233200000,0.03347,0.03353,,
216,1610236800000,0.0333,0.03343,0.0004,0.0022339
217,1610240400000,0.03404,0.03311,,
218,1610244000000,0.03395,0.03379,,
219,1610247600000,0.03354,0.03383,,
220,1610251200000,0.03398,0.03339,,
221,1610254800000,0.03456,0.03379,,
222,1610258400000,0.03379,0.03436,,
223,1610262000000,0.03432,0.03356,,
224,1610265600000,0.03423,0.03423,,0.00395651
225,1610269200000,0.03401,0.03399,,
226,1610272800000,0.03214,0.0338,,
227,1610276400000,0.03007,0.03204,,
228,1610280000000,0.03116,0.03005,,
229,1610283600000,0.03122,0.03109,,
230,1610287200000,0.0305,0.03115,,
231,1610290800000,0.03109,0.03046,,
232,1610294400000,0.03006,0.03098,,0.00035634
233,1610298000000,0.0301,0.02996,,
234,1610301600000,0.0297,0.03001,,
235,1610305200000,0.02892,0.02962,,
236,1610308800000,0.02984,0.02879,,
237,1610312400000,0.03007,0.02965,,
238,1610316000000,0.03022,0.02992,,
239,1610319600000,0.0303,0.03017,,
240,1610323200000,0.02929,0.0302,0.0004,0.00092358
241,1610326800000,0.02883,0.02917,,
242,1610330400000,0.02823,0.02876,,
243,1610334000000,0.02599,0.02817,,
244,1610337600000,0.02673,0.02595,,
245,1610341200000,0.0263,0.02672,,
246,1610344800000,0.02494,0.02623,,
247,1610348400000,0.02623,0.02502,,
248,1610352000000,0.02763,0.02622,,0.0001
249,1610355600000,0.02803,0.02761,,
250,1610359200000,0.02788,0.02795,,
251,1610362800000,0.02694,0.02783,,
252,1610366400000,0.02664,0.027,,
253,1610370000000,0.02575,0.02661,,
254,1610373600000,0.02581,0.0257,,
255,1610377200000,0.0244,0.0258,,
256,1610380800000,0.02378,0.02443,,0.0001
257,1610384400000,0.02466,0.02378,,
258,1610388000000,0.02453,0.02464,,
259,1610391600000,0.02443,0.02452,,
260,1610395200000,0.02491,0.02436,,
261,1610398800000,0.02533,0.02486,,
262,1610402400000,0.02545,0.02534,,
263,1610406000000,0.02595,0.0254,,
264,1610409600000,0.02568,0.02593,0.0004,0.0001
265,1610413200000,0.02582,0.02568,,
266,1610416800000,0.02632,0.02582,,
267,1610420400000,0.02647,0.02633,,
268,1610424000000,0.02684,0.02647,,
269,1610427600000,0.0275,0.02673,,
270,1610431200000,0.02799,0.02748,,
271,1610434800000,0.02781,0.02794,,
272,1610438400000,0.02726,0.02771,,0.0001
273,1610442000000,0.02765,0.02718,,
274,1610445600000,0.02692,0.02756,,
275,1610449200000,0.0269,0.02685,,
276,1610452800000,0.02691,0.02689,,
277,1610456400000,0.02571,0.02696,,
278,1610460000000,0.02554,0.02572,,
279,1610463600000,0.02607,0.02551,,
280,1610467200000,0.02674,0.02604,,0.0001
281,1610470800000,0.02719,0.02669,,
282,1610474400000,0.0273,0.02717,,
283,1610478000000,0.02673,0.02727,,
284,1610481600000,0.02671,0.02665,,
285,1610485200000,0.02657,0.02664,,
286,1610488800000,0.02591,0.0265,,
287,1610492400000,0.02613,0.0259,,
288,1610496000000,0.02481,0.02608,0.0004,0.0001
289,1610499600000,0.02555,0.02481,,
290,1610503200000,0.02541,0.02547,,
291,1610506800000,0.02562,0.02534,,
292,1610510400000,0.02532,0.0256,,
293,1610514000000,0.02549,0.02525,,
294,1610517600000,0.02578,0.02543,,
295,1610521200000,0.0269,0.02573,,
296,1610524800000,0.02662,0.02685,,0.0001
297,1610528400000,0.02685,0.02656,,
298,1610532000000,0.0274,0.02674,,
299,1610535600000,0.02713,0.02732,,
300,1610539200000,0.02749,0.02709,,
301,1610542800000,0.02782,0.02747,,
302,1610546400000,0.02811,0.02777,,
303,1610550000000,0.02854,0.02804,,
304,1610553600000,0.02889,0.02843,,0.00038625
305,1610557200000,0.02897,0.02882,,
306,1610560800000,0.02976,0.02893,,
307,1610564400000,0.02933,0.02972,,
308,1610568000000,0.02949,0.02929,,
309,1610571600000,0.0301,0.02939,,
310,1610575200000,0.02999,0.03006,,
311,1610578800000,0.02996,0.02998,,
312,1610582400000,0.02957,0.02992,0.0004,0.0001
313,1610586000000,0.02939,0.02954,,
314,1610589600000,0.02967,0.02937,,
315,1610593200000,0.02957,0.02961,,
316,1610596800000,0.02995,0.02949,,
317,1610600400000,0.02978,0.02991,,
318,1610604000000,0.03002,0.02975,,
319,1610607600000,0.03027,0.02995,,
320,1610611200000,0.03015,0.03023,,0.00010463
321,1610614800000,0.03033,0.03016,,
322,1610618400000,0.03108,0.03028,,
323,1610622000000,0.03164,0.03097,,
324,1610625600000,0.03115,0.03157,,
325,1610629200000,0.03092,0.03103,,
326,1610632800000,0.03047,0.03089,,
327,1610636400000,0.03059,0.03043,,
328,1610640000000,0.03034,0.03048,,0.00046754
329,1610643600000,0.03039,0.03029,,
330,1610647200000,0.03021,0.03029,,
331,1610650800000,0.03217,0.03013,,
332,1610654400000,0.03237,0.03202,,
333,1610658000000,0.03129,0.03237,,
334,1610661600000,0.03165,0.03117,,
335,1610665200000,0.03296,0.03165,,
336,1610668800000,0.03285,0.03278,0.0004,0.00083582
337,1610672400000,0.03301,0.0327,,
338,1610676000000,0.03361,0.03298,,
339,1610679600000,0.03299,0.03347,,
340,1610683200000,0.03274,0.0329,,
341,1610686800000,0.03261,0.03267,,
342,1610690400000,0.03335,0.03248,,
343,1610694000000,0.03389,0.03326,,
344,1610697600000,0.03445,0.03377,,0.00071542
345,1610701200000,0.03512,0.03433,,
346,1610704800000,0.03502,0.03495,,
347,1610708400000,0.03452,0.03493,,
348,1610712000000,0.03333,0.03448,,
349,1610715600000,0.03396,0.03324,,
350,1610719200000,0.03254,0.03381,,
351,1610722800000,0.03096,0.03248,,
352,1610726400000,0.03307,0.03096,,0.00102126
353,1610730000000,0.03267,0.03298,,
354,1610733600000,0.03316,0.03261,,
355,1610737200000,0.03251,0.03313,,
356,1610740800000,0.03286,0.03249,,
357,1610744400000,0.03319,0.03282,,
358,1610748000000,0.03363,0.03306,,
359,1610751600000,0.03417,0.03356,,
360,1610755200000,0.03524,0.03401,0.0004,0.00031384
361,1610758800000,0.03457,0.03513,,
362,1610762400000,0.03376,0.03439,,
363,1610766000000,0.03432,0.0336,,
364,1610769600000,0.03447,0.03423,,
365,1610773200000,0.03392,0.0344,,
366,1610776800000,0.03474,0.03381,,
367,1610780400000,0.03458,0.03468,,
368,1610784000000,0.03497,0.03448,,0.00070416
369,1610787600000,0.03579,0.0348,,
370,1610791200000,0.03577,0.03567,,
371,1610794800000,0.03542,0.03565,,
372,1610798400000,0.03571,0.03532,,
373,1610802000000,0.03566,0.03558,,
374,1610805600000,0.03584,0.03557,,
375,1610809200000,0.03507,0.03572,,
376,1610812800000,0.03456,0.03486,,0.00106604
377,1610816400000,0.03415,0.03443,,
378,1610820000000,0.03312,0.03412,,
379,1610823600000,0.0336,0.03307,,
380,1610827200000,0.03399,0.03354,,
381,1610830800000,0.03266,0.03388,,
382,1610834400000,0.03257,0.03265,,
383,1610838000000,0.03284,0.03251,,
384,1610841600000,0.0335,0.03269,0.0004,0.00028641
385,1610845200000,0.03404,0.03327,,
386,1610848800000,0.0337,0.03397,,
387,1610852400000,0.03341,0.0336,,
388,1610856000000,0.03276,0.03333,,
389,1610859600000,0.03213,0.0326,,
390,1610863200000,0.03208,0.03209,,
391,1610866800000,0.03121,0.03196,,
392,1610870400000,0.0316,0.03117,,0.0001
393,1610874000000,0.03102,0.03152,,
394,1610877600000,0.03253,0.03098,,
395,1610881200000,0.03298,0.03242,,
396,1610884800000,0.03248,0.03285,,
397,1610888400000,0.03235,0.03243,,
398,1610892000000,0.03271,0.03232,,
399,1610895600000,0.03353,0.03267,,
400,1610899200000,0.03384,0.03343,,0.0001
401,1610902800000,0.03364,0.03376,,
402,1610906400000,0.03313,0.0336,,
403,1610910000000,0.03369,0.03301,,
404,1610913600000,0.03475,0.03361,,
405,1610917200000,0.03476,0.03467,,
406,1610920800000,0.034,0.03459,,
407,1610924400000,0.03417,0.03396,,
408,1610928000000,0.03476,0.03413,0.0004,0.00070107
409,1610931600000,0.03509,0.03465,,
410,1610935200000,0.03449,0.03499,,
411,1610938800000,0.03374,0.03447,,
412,1610942400000,0.03416,0.03365,,
413,1610946000000,0.03502,0.03412,,
414,1610949600000,0.03525,0.03496,,
415,1610953200000,0.03599,0.03511,,
416,1610956800000,0.03622,0.03589,,0.00055125
417,1610960400000,0.03622,0.03615,,
418,1610964000000,0.03528,0.03615,,
419,1610967600000,0.03542,0.03515,,
420,1610971200000,0.0367,0.03531,,
421,1610974800000,0.0372,0.03656,,
422,1610978400000,0.03692,0.03714,,
423,1610982000000,0.03696,0.03687,,
424,1610985600000,0.03597,0.0369,,0.00057155
425,1610989200000,0.03582,0.0359,,
426,1610992800000,0.03599,0.03569,,
427,1610996400000,0.03616,0.03586,,
428,1611000000000,0.03602,0.03598,,
429,1611003600000,0.03586,0.03593,,
430,1611007200000,0.0356,0.0358,,
431,1611010800000,0.03629,0.03547,,
432,1611014400000,0.03583,0.03614,0.0004,0.00105722
433,1611018000000,0.03524,0.03575,,
434,1611021600000,0.03485,0.03505,,
435,1611025200000,0.03437,0.03466,,
436,1611028800000,0.03438,0.03424,,
437,1611032400000,0.03471,0.0343,,
438,1611036000000,0.03485,0.03463,,
439,1611039600000,0.03514,0.03472,,
440,1611043200000,0.03575,0.03503,,0.00128928
441,1611046800000,0.03551,0.03553,,
442,1611050400000,0.03571,0.03531,,
443,1611054000000,0.03558,0.03547,,
444,1611057600000,0.03541,0.0353,,
445,1611061200000,0.03554,0.03526,,
446,1611064800000,0.03585,0.03537,,
447,1611068400000,0.03544,0.03571,,
448,1611072000000,0.03536,0.03545,,0.00200894
449,1611075600000,0.03546,0.03516,,
450,1611079200000,0.03355,0.03528,,
451,1611082800000,0.0328,0.03348,,
452,1611086400000,0.03324,0.03267,,
453,1611090000000,0.03373,0.03315,,
454,1611093600000,0.03383,0.03358,,
455,1611097200000,0.03233,0.03374,,
456,1611100800000,0.03411,0.03234,0.0004,0.00059953
457,1611104400000,0.03395,0.03395,,
458,1611108000000,0.03349,0.03381,,
459,1611111600000,0.03159,0.0334,,
460,1611115200000,0.03222,0.03158,,
461,1611118800000,0.03238,0.03206,,
462,1611122400000,0.03196,0.03228,,
463,1611126000000,0.03283,0.03192,,
464,1611129600000,0.03272,0.03275,,0.00028556
465,1611133200000,0.0313,0.03263,,
466,1611136800000,0.03176,0.03125,,
467,1611140400000,0.03086,0.03164,,
468,1611144000000,0.03128,0.0308,,
469,1611147600000,0.03254,0.03119,,
470,1611151200000,0.03256,0.03244,,
471,1611154800000,0.03171,0.03248,,
472,1611158400000,0.03263,0.03171,,0.0001
473,1611162000000,0.03285,0.03248,,
474,1611165600000,0.03466,0.03275,,
475,1611169200000,0.03452,0.03462,,
476,1611172800000,0.03402,0.03446,,
477,1611176400000,0.03421,0.03393,,
478,1611180000000,0.03428,0.03411,,
479,1611183600000,0.03444,0.03423,,
480,1611187200000,0.03489,0.03444,0.0004,0.00034764
481,1611190800000,0.03432,0.03478,,
482,1611194400000,0.03444,0.03436,,
483,1611198000000,0.03359,0.0344,,
484,1611201600000,0.03261,0.03357,,
485,1611205200000,0.03268,0.03259,,
486,1611208800000,0.03295,0.03255,,
487,1611212400000,0.03284,0.03281,,
488,1611216000000,0.03116,0.03276,,0.00024651
489,1611219600000,0.03081,0.03111,,
490,1611223200000,0.03091,0.03079,,
491,1611226800000,0.03021,0.03088,,
492,1611230400000,0.03065,0.03013,,
493,1611234000000,0.03048,0.03056,,
494,1611237600000,0.0298,0.03044,,
495,1611241200000,0.03002,0.02971,,
496,1611244800000,0.02966,0.02998,,0.0001
497,1611248400000,0.03026,0.02962,,
498,1611252000000,0.03008,0.03021,,
499,1611255600000,0.03062,0.02999,,
500,1611259200000,0.03048,0.03055,,
501,1611262800000,0.03009,0.03043,,
502,1611266400000,0.029,0.03001,,
503,1611270000000,0.0287,0.02898,,
504,1611273600000,0.02698,0.02867,0.0004,0.0001
505,1611277200000,0.02868,0.02702,,
506,1611280800000,0.02926,0.02861,,
507,1611284400000,0.02958,0.02928,,
508,1611288000000,0.02956,0.02957,,
509,1611291600000,0.02969,0.02948,,
510,1611295200000,0.02999,0.02968,,
511,1611298800000,0.02968,0.02997,,
512,1611302400000,0.03009,0.02962,,0.0001
513,1611306000000,0.03021,0.03003,,
514,1611309600000,0.03086,0.03015,,
515,1611313200000,0.03112,0.03072,,
516,1611316800000,0.0319,0.031,,
517,1611320400000,0.03235,0.03181,,
518,1611324000000,0.03252,0.03226,,
519,1611327600000,0.03241,0.03246,,
520,1611331200000,0.03212,0.03235,,0.0001
521,1611334800000,0.0318,0.03204,,
522,1611338400000,0.03257,0.03171,,
523,1611342000000,0.0327,0.03261,,
524,1611345600000,0.03205,0.03261,,
525,1611349200000,0.0319,0.03202,,
526,1611352800000,0.03141,0.0319,,
527,1611356400000,0.03121,0.03135,,
528,1611360000000,0.03148,0.03118,0.0004,0.0001
529,1611363600000,0.03155,0.03143,,
530,1611367200000,0.03137,0.0315,,
531,1611370800000,0.03167,0.03136,,
532,1611374400000,0.03233,0.03156,,
533,1611378000000,0.03217,0.03227,,
534,1611381600000,0.03208,0.03202,,
535,1611385200000,0.03254,0.03205,,
536,1611388800000,0.03247,0.03247,,0.0001
537,1611392400000,0.0322,0.03242,,
538,1611396000000,0.03194,0.03215,,
539,1611399600000,0.03104,0.03192,,
540,1611403200000,0.0311,0.03097,,
541,1611406800000,0.03235,0.03107,,
542,1611410400000,0.03355,0.03227,,
543,1611414000000,0.03332,0.03352,,
544,1611417600000,0.03384,0.03327,,0.0001
545,1611421200000,0.03457,0.03371,,
546,1611424800000,0.0343,0.03447,,
547,1611428400000,0.03443,0.03419,,
548,1611432000000,0.03444,0.03439,,
549,1611435600000,0.03508,0.03438,,
550,1611439200000,0.03457,0.03497,,
551,1611442800000,0.0341,0.03452,,
552,1611446400000,0.03471,0.03403,0.0004,0.0001
553,1611450000000,0.03445,0.03473,,
554,1611453600000,0.03443,0.03441,,
555,1611457200000,0.03423,0.03432,,
556,1611460800000,0.03494,0.03416,,
557,1611464400000,0.03494,0.03482,,
558,1611468000000,0.03511,0.0349,,
559,1611471600000,0.03486,0.035,,
560,1611475200000,0.03491,0.03474,,0.00059009
561,1611478800000,0.03503,0.03482,,
562,1611482400000,0.03477,0.03501,,
563,1611486000000,0.03515,0.03471,,
564,1611489600000,0.03368,0.03501,,
565,1611493200000,0.03385,0.0336,,
566,1611496800000,0.03362,0.03373,,
567,1611500400000,0.03408,0.03351,,
568,1611504000000,0.03401,0.03398,,0.00018449
569,1611507600000,0.03401,0.03392,,
570,1611511200000,0.03382,0.03387,,
571,1611514800000,0.03276,0.0337,,
572,1611518400000,0.03329,0.03265,,
573,1611522000000,0.03337,0.03322,,
574,1611525600000,0.03304,0.03324,,
575,1611529200000,0.03317,0.0329,,
576,1611532800000,0.03382,0.03307,0.0004,0.00044935
577,1611536400000,0.03395,0.0337,,
578,1611540000000,0.03415,0.03384,,
579,1611543600000,0.03407,0.034,,
580,1611547200000,0.03436,0.03396,,
581,1611550800000,0.03476,0.03422,,
582,1611554400000,0.03556,0.0346,,
583,1611558000000,0.03547,0.03538,,
584,1611561600000,0.03481,0.03537,,0.0007451
585,1611565200000,0.03391,0.03471,,
586,1611568800000,0.03458,0.03384,,
587,1611572400000,0.03475,0.03444,,
588,1611576000000,0.03532,0.0346,,
589,1611579600000,0.03528,0.0352,,
590,1611583200000,0.03579,0.03516,,
591,1611586800000,0.03632,0.03569,,
592,1611590400000,0.03555,0.03617,,0.0009872
593,1611594000000,0.0354,0.03542,,
594,1611597600000,0.03518,0.03527,,
595,1611601200000,0.03485,0.03507,,
596,1611604800000,0.03444,0.03477,,
597,1611608400000,0.03408,0.03432,,
598,1611612000000,0.03334,0.03399,,
599,1611615600000,0.03282,0.0333,,
600,1611619200000,0.03333,0.03278,0.0004,0.00028941
601,1611622800000,0.03361,0.03329,,
602,1611626400000,0.03287,0.03352,,
603,1611630000000,0.03206,0.03279,,
604,1611633600000,0.03259,0.03202,,
605,1611637200000,0.03292,0.03253,,
606,1611640800000,0.03305,0.03282,,
607,1611644400000,0.03538,0.03295,,
608,1611648000000,0.03726,0.03525,,0.0001
609,1611651600000,0.03721,0.03714,,
610,1611655200000,0.0404,0.03713,,
611,1611658800000,0.03927,0.04023,,
612,1611662400000,0.03814,0.0392,,
613,1611666000000,0.04102,0.03791,,
614,1611669600000,0.03863,0.04104,,
615,1611673200000,0.03996,0.03855,,
616,1611676800000,0.04022,0.03985,,0.00020884
617,1611680400000,0.04194,0.04011,,
618,1611684000000,0.0428,0.04184,,
619,1611687600000,0.04251,0.04283,,
620,1611691200000,0.04154,0.04246,,
621,1611694800000,0.04163,0.04145,,
622,1611698400000,0.04335,0.04154,,
623,1611702000000,0.04342,0.0433,,
624,1611705600000,0.04488,0.04335,0.0004,0.0001
625,1611709200000,0.04559,0.04479,,
626,1611712800000,0.04644,0.04549,,
627,1611716400000,0.04575,0.0463,,
628,1611720000000,0.04562,0.04564,,
629,1611723600000,0.04392,0.04541,,
630,1611727200000,0.04555,0.04376,,
631,1611730800000,0.0433,0.04541,,
632,1611734400000,0.0415,0.04319,,0.00041955
633,1611738000000,0.04211,0.04142,,
634,1611741600000,0.04118,0.04207,,
635,1611745200000,0.03949,0.04107,,
636,1611748800000,0.04001,0.03939,,
637,1611752400000,0.03901,0.03995,,
638,1611756000000,0.038,0.03882,,
639,1611759600000,0.0407,0.03784,,
640,1611763200000,0.04051,0.04061,,0.00022288
641,1611766800000,0.03998,0.04046,,
642,1611770400000,0.03924,0.03985,,
643,1611774000000,0.04282,0.03917,,
644,1611777600000,0.04197,0.04273,,
645,1611781200000,0.04192,0.04186,,
646,1611784800000,0.04245,0.04185,,
647,1611788400000,0.04186,0.04238,,
648,1611792000000,0.04148,0.04175,0.0004,0.0001
649,1611795600000,0.0418,0.0414,,
650,1611799200000,0.04432,0.04178,,
651,1611802800000,0.0442,0.04418,,
652,1611806400000,0.04216,0.04411,,
653,1611810000000,0.04313,0.0421,,
654,1611813600000,0.04184,0.04306,,
655,1611817200000,0.04164,0.04179,,
656,1611820800000,0.04184,0.04154,,0.00033598
657,1611824400000,0.04305,0.04174,,
658,1611828000000,0.04249,0.04288,,
659,1611831600000,0.0424,0.04235,,
660,1611835200000,0.04244,0.0423,,
661,1611838800000,0.0432,0.04236,,
662,1611842400000,0.0438,0.0431,,
663,1611846000000,0.04262,0.0438,,
664,1611849600000,0.04327,0.04251,,0.00057109
665,1611853200000,0.04225,0.04312,,
666,1611856800000,0.0408,0.04217,,
667,1611860400000,0.04057,0.04075,,
668,1611864000000,0.04093,0.04045,,
669,1611867600000,0.04091,0.04078,,
670,1611871200000,0.03962,0.04077,,
671,1611874800000,0.03867,0.03955,,
672,1611878400000,0.03857,0.03858,0.0004,0.00071144
